product_id,product_name,product_category,list_price,sale_price
601d,Pringles South African Style Peri Peri Potato Crisps,chips nachos and popcorn,99,99
6601,Yelakki Banana (Kela),fresh fruits,53,53
66c8,Cadbury Dairy Milk Roast Almond Chocolate,chocolate,40,40
6.70E+09,Nilgiris Premium White Peas,pulses and other grains,51,51
687b,Tropicana Slice Mango Juice (Bottle),soft drinks-juice and soda,50,50
6953,Raw Mango (Kaccha Aam),fresh vegetables,40,40
6996,Red Carrot (Gajar),fresh vegetables,80,80
6b27,B Natural Orange Juice (Tetra Pack),soft drinks-juice and soda,99,99
6b46,Kashmir Apple (Seb),fresh fruits,90,90
6c70,Lemongrass,fresh vegetables,35,35
6d03,Aashirvaad Superior MP Atta ,atta and other flours,55,55
6d5d,Cadbury 5 Star 3D Chocolate,chocolate,30,30
6d94,Nilgiris Premium Bay Leaf,masala and spice,10,10
6e9b,Raw Papaya (Kaccha Papita),fresh vegetables,38,38
71c2,Cauliflower (Phool Gobi),fresh vegetables,40,40
7308,Senai Yam (Rataloo),fresh vegetables,35,35
733b,Nilgiris Good to Snack Rusk,biscuits,15,15
740f,Beetroot (Chukandar),fresh vegetables,40,40
74b8,Nivea Men Dark Spot Reduction Face Wash,face wash,199,199
74dd,Parle Krack Jack Sweet & Salty Crackers,biscuits,10,10
755b,Britannia Good Day Chocochip Cookies ,biscuits,30,30
7628,Indian Seedless Green Grapes (Angoor),fresh fruits,60,60
7713,Nilgiris Premium Butter Beans,pulses and other grains,74,74
77c1,Long Purple Brinjal (Baingan),fresh vegetables,35,35
780d,Green Zucchini,fresh vegetables,234,234
78fb,Aashirvaad Select Sharbati Atta,atta and other flours,255,255
7ecd,Leeks,fresh vegetables,18,18
7edd,Nestle Milkybar Moosha Chocolate,chocolate,20,20
7f5b,Dettol Original Hand Wash Refill,hand wash,58,58
80d8,Nilgiris Premium Clove/Laung Powder,masala and spice,60,60
8146,Colgate Vedshakti Toothpaste ,toothpaste,49,49
81ab,Parle Real Elaichi Premium Rusk,biscuits,30,30
827e,English Cucumber (Kheera),fresh vegetables,25,25
8460,Nilgiris Toned Milk,milk,20,20
8526,Peppy Sumo Pack Cheese Balls,chips nachos and popcorn,50,50
85ca,Britannia Milk Bikis Sandwich Biscuits ,biscuits,40,40
85d3,Tomato (Tamatar),fresh vegetables,26,26
8605,Ash Gourd (Petha),fresh vegetables,35,35
863c,Nilgiris Sona Masoori Premium Rice,rice_rice_products,335,335
86ec,Pomegranate (Anaar),fresh fruits,162,162
8905,Iceberg Lettuce,fresh vegetables,120,120
89c3,Nilgiris Premium Horse Gram,pulses and other grains,18,15
8a43,Britannia Treat Funky Choco Biscuits,biscuits,30,30
8a61,Sensodyne Whitening Toothpaste,toothpaste,115,115
8b29,Doritos Cheese Nachos,chips nachos and popcorn,65,65
8b66,Cornitos Sizzlin Jalapeno Nacho Crisps,chips nachos and popcorn,35,35
8bed,Nilgiris Premium Kolam Rice,rice_rice_products,460,460
8d0b,Himalaya Aloe Vera Moisturizing Face Wash ,face wash,120,120
8dbb,Nilgiris Premium Gram Flour ,atta and other flours,54,45
8fd1,Avocado,fresh fruits,570,570
9055,Pantene Total Damage Care Shampoo ,shampoo,220,220
90b0,Britannia Nutrichoice Essentials Oat Cookies,biscuits,60,60
9253,Britannia Pure Magic Choco Creme Biscuits,biscuits,30,30
92c5,Britannia Treat Burst Choco Cream Fills Cookies,biscuits,15,15
92c6,Thums Up Charged (Can),soft drinks-juice and soda,35,35
93c8,Britannia Milk Bikis Biscuits,biscuits,25,25
93d8,Nilgiris Premium Black Urad - Split,pulses and other grains,115,115
949a,Green Capsicum (Shimla Mirch),fresh vegetables,80,80
94c5,Sweet Lime (Mosambi),fresh fruits,105,105
9.40E+03,Herbs and Seasonings Combo,fresh vegetables,85,85
9695,Sunfeast Glucose Biscuits ,biscuits,10,10
9701,Carrot (Gajar),fresh vegetables,54,54
9.80E+08,Green Raw Banana (Kaccha Kela),fresh vegetables,12,12
9b60,Cadbury 5 Star Chocolate,chocolate,20,20
9bff,Banana Stem,fresh vegetables,20,20
9d4a,Mysore Sandal  Soap ,soaps and bodywash,62,62
9d8d,Nilgiris Premium Thick Regular Beaten Rice,rice_rice_products,35,35
1170,Dabur Honey ,honey,37,37
1252,Kurkure Shahi Twistkeen Crisps,chips nachos and popcorn,35,35
140d,Asparagus (Shatavari),fresh vegetables,375,375
16c9,Himalaya Neem & Turmeric Soap ,soaps and bodywash,45,45
16f5,Britannia Toastea Multigrain Rusk,biscuits,35,35
172f,Cornitos Cheese and Herb Nachos,chips nachos and popcorn,85,85
1.70E+02,Gone Mad Sugar Cheese Crackers ,biscuits,60,60
1982,Nilgiris Premium Hamsa Rice (Medium Grain),rice_rice_products,44,38
1a62,Garnier Oil Clear Gel Face Wash For Men,face wash,195,195
1b6b,Brooke Bond Red Label Natural Care Tea,tea,130,130
1d42,Strawberry,fresh fruits,95,95
1d51,Fanta (Bottle),soft drinks-juice and soda,40,40
1f44,Nilgiris Premium Yellow Mustard Seeds,masala and spice,20,20
1f8b,Long Green Brinjal (Baingan),fresh vegetables,100,100
2116,Parle Premium Real Elaichi Rusk,biscuits,57,47
223a,Parle-G Gold Glucose Biscuits ,biscuits,100,100
2459,Nilgiris Spicy Cracker,biscuits,40,40
28a9,Nilgiris Premium Black Urad Dal,pulses and other grains,58,58
28c6,Nilgiris Premium Dry Ginger,masala and spice,60,60
29ba,Onion (Payaaz),fresh vegetables,145,145
29ec,Chinese Cabbage (Patta Gobi),fresh vegetables,35,28
2a00,Bitter Gourd (Karela),fresh vegetables,46,46
2c1c,Bingo Mad Angles Masala Crisps,chips nachos and popcorn,20,20
2da0,MDH Deggi Mirch Powder,masala and spice,60,60
3577,Nilgiris Premium Bajra - Seeds,pulses and other grains,32,28
395e,Nilgiris Premium Country Sugar,sugar,45,45
39c3,Real Fruit Power Activ 100% Orange Juice (Tetra Pack),soft drinks-juice and soda,130,130
3a7a,Nilgiris Premium Soya Chunks,pulses and other grains,26,26
3b21,Litchi,fresh fruits,230,166
3f49,Real Fruit Power Litchi Juice (Tetra Pack),soft drinks-juice and soda,105,105
4362,Biotique Advanced Fairness Face Wash,face wash,100,91
45f8,Britannia Good Day Chunkies Chocolate Chip Cookies,biscuits,50,50
46ab,Thums Up (Can),soft drinks-juice and soda,35,35
4.70E+05,Parle Monaco Cheeslings Classic Crackers ,biscuits,120,120
4ec8,Nilgiris Premium Bajra Flour ,atta and other flours,35,35
5262,Raspberry,fresh fruits,780,780
52dc,Cabbage (Patta Gobi),fresh vegetables,30,30
5446,Mogu Mogu Mango Juice (Bottle),soft drinks-juice and soda,60,60
55d7,Coca-Cola (Bottle),soft drinks-juice and soda,80,80
